文件名,重要性评分,分类,子分类,优化建议,应用场景,不适合场景,质量评级,重复度,理由
知识架构师：对笔记进行深度重构与升华.md,5,学习,方法论,保留,知识体系化与价值提炼,快速信息获取,高,高,四层重构架构，功能最完整
首席技术专家.md,5,角色,技术,保留,技术知识的专业化表达,非技术内容,高,低,四维重构模型，技术专用
首席战略架构师.md,5,角色,管理,保留,商业逻辑与战略思维,专业技术处理,高,低,归纳推理四阶梯，战略专用
苏格拉底式提问.md,5,框架,提问,保留,深度思考与逻辑验证,表层信息处理,高,中,五维思维审计框架
交互式苏格拉底诘问引擎.md,5,框架,提问,保留,高认知压力测试,初学者教育,高,中,两阶段认知压力测试
费曼学习法教学专家.md,5,学习,方法论,保留,知识简化与教学,复杂专业术语解析,高,低,费曼技术知识审计
Zettelkasten 卡片生成器.md,5,工具,笔记管理,保留,原子化知识构建,整体性内容处理,高,低,完整元数据规范
代码审查专家.md,5,技能,编程,保留,代码质量分析,非代码内容,高,低,三种版本综合框架
深度复盘私人教练.md,4,框架,反思,保留,项目复盘与反思,客观信息处理,高,低,动机-路径-约束模型
Role_CEO沉浸式模拟版.md,4,角色,管理,保留,高压力决策模拟,常规信息处理,高,低,三种执行模式
Cheat Sheet.md,4,工具,结构化,保留,知识可视化与速查,思维发散性内容,高,中,三种模式笔记重构
Anki闪卡.md,4,工具,记忆辅助,保留,高价值知识记忆,基础信息收集,中,高,基于二八定律
知识架构师.md,3,学习,方法论,合并到高级版,基础知识重构,深度重构需求,中,高,是高级版的基础版本
TL;DR summary.md,3,工具,摘要,保留,极致简洁内容提炼,需要上下文的信息,中,中,单段TL;DR总结
200字卡片笔记.md,3,工具,笔记管理,明确独特价值,快速卡片笔记,深度知识构建,中,中,与Zettelkasten有重叠
01清晰度架构师.md,3,框架,思维,保留,逻辑重构与提升信噪比,简单信息整理,中,中,剃刀法则+结构显化
Anki 闪卡生成器和知识萃取专家-flashcard语法.md,3,工具,记忆辅助,合并,专业闪卡制作,日常信息记录,中,高,与Anki闪卡80%重复
04推理扩展.md,3,框架,推理,保留,逻辑推理扩展,事实性信息处理,中,中,推理能力增强
10%核心要素识别.md,3,工具,分析,保留,关键要素提取,整体性内容,中,低,二八定律应用
11费曼第一原理排除法.md,3,学习,方法论,保留,第一性原理思考,复杂系统处理,中,低,费曼技术+第一性原理
AI writing tutor.md,3,角色,教育,保留,写作辅导,技术内容审查,中,低,NLP工具+修辞知识
AI 诤友.md,3,角色,反馈,保留,批判性反馈,正面鼓励场景,中,低,直言不讳的反馈
C-level知识架构顾问-Fits-in核查.md,4,框架,知识管理,保留,知识体系嵌入评估,非知识体系内容,高,中,Fits-in核查框架
Canvas笔记生成器.md,3,工具,笔记,保留,Canvas笔记结构化,文本笔记,中,低,Canvas专用
CEFR语用能力评估.md,2,角色,语言,考虑删除,英语能力评估,非英语内容,中,低,特定场景工具
PALC结构分析器.md,3,框架,分析,保留,PALC结构分析,非结构化内容,中,低,PALC方法论
PERE元认知引擎-结构化目标.md,3,框架,目标,保留,结构化目标设定,开放性目标,中,低,PERE模型
PracticalExample.md,2,工具,示例,考虑删除,生成实用示例,理论性内容,低,高,功能简单
PRD全链路分析与设计.md,4,角色,产品,保留,PRD设计与分析,非产品相关,高,低,产品需求专用
ReAct AI执行代理.md,3,框架,执行,保留,推理-行动循环,静态信息处理,中,低,ReAct模式
Remove URLs.md,2,工具,文本处理,考虑删除,移除URL链接,需要保留链接,低,高,功能过于单一
Rewrite as press release.md,2,工具,重写,考虑删除,新闻稿重写,其他格式内容,低,高,特定格式重写
Rewrite as tweet.md,2,工具,重写,考虑删除,Tweet重写,长内容,低,高,社交媒体专用
Role_ 资深全栈架构师 (GolangAngular).md,3,角色,技术,保留,Golang/Angular架构,非技术栈内容,中,低,特定技术栈
Role_CEO沉浸式模拟版.md,4,角色,管理,保留,CEO危机响应模拟,常规信息处理,高,低,决策模拟
Role_YouTube video analyst.md,2,角色,媒体,考虑删除,YouTube视频分析,非视频内容,低,高,特定平台专用
Role_心理医生.md,3,角色,健康,保留,心理健康支持,技术性问题,中,低,心理咨询
Role_提示词增强_Senior Prompt Engineering Consultant.md,4,角色,AI工程,保留,提示词优化,非提示词相关,高,低,提示词工程
Role_网站设计顾问.md,3,角色,设计,保留,网站设计咨询,非设计内容,中,低,网站设计专用
SCQRA提问框架.md,3,框架,提问,保留,SCQRA提问,非结构化问题,中,中,提问方法论
