source,target,old_title,new_title
0.DailyNotes\0.mindset\2025-12-04-系统设计文档与 PRD、Spec.md,2.Topics\Coding\系统设计\系统设计文档与 PRD、Spec.md,2025-12-04-系统设计文档与 PRD、Spec.md,系统设计文档与 PRD、Spec.md
0.DailyNotes\0.mindset\2025-12-13-学习知识库架构.md,2.Topics\Coding\系统设计\学习知识库架构.md,2025-12-13-学习知识库架构.md,学习知识库架构.md
0.DailyNotes\0.mindset\2025-W14.md,0.DailyNotes\特殊文件\2025-W14.md,2025-W14.md,2025-W14.md
0.DailyNotes\0.mindset\5级DES高分写作用语习惯.md,2.Topics\写作与英语\英语学习\5级DES高分写作用语习惯.md,5级DES高分写作用语习惯.md,5级DES高分写作用语习惯.md
0.DailyNotes\0.mindset\AI协作作战手册设计规范 v1.0.md,2.Topics\Coding\AI与大模型\AI协作作战手册设计规范 v1.0.md,AI协作作战手册设计规范 v1.0.md,AI协作作战手册设计规范 v1.0.md
0.DailyNotes\0.mindset\Arc-将蓝图细化为具体的装配指令.md,2.Topics\Coding\AI与大模型\Arc-将蓝图细化为具体的装配指令.md,Arc-将蓝图细化为具体的装配指令.md,Arc-将蓝图细化为具体的装配指令.md
0.DailyNotes\0.mindset\CheeryStudio自反能力提示词生成器.md,2.Topics\Coding\AI与大模型\CheeryStudio自反能力提示词生成器.md,CheeryStudio自反能力提示词生成器.md,CheeryStudio自反能力提示词生成器.md
0.DailyNotes\0.mindset\DSE 英文写作结构公式.md,2.Topics\写作与英语\英语学习\DSE 英文写作结构公式.md,DSE 英文写作结构公式.md,DSE 英文写作结构公式.md
0.DailyNotes\0.mindset\Google Gem - Brain Storm.md,2.Topics\Coding\AI与大模型\Google Gem - Brain Storm.md,Google Gem - Brain Storm.md,Google Gem - Brain Storm.md
0.DailyNotes\0.mindset\LOL游戏启示录.md,2.Topics\个人效能\职业发展\LOL游戏启示录.md,LOL游戏启示录.md,LOL游戏启示录.md
0.DailyNotes\0.mindset\Making cool stuff.md,2.Topics\创业与产品\商业模式\Making cool stuff.md,Making cool stuff.md,Making cool stuff.md
0.DailyNotes\0.mindset\ManicTime量化.md,2.Topics\个人效能\生产力系统\ManicTime量化.md,ManicTime量化.md,ManicTime量化.md
"0.DailyNotes\0.mindset\No Magic, Just Code设计哲学.md","2.Topics\Coding\系统设计\No Magic, Just Code设计哲学.md","No Magic, Just Code设计哲学.md","No Magic, Just Code设计哲学.md"
0.DailyNotes\0.mindset\PARACAP项目管理结构.md,2.Topics\创业与产品\产品方法论\PARACAP项目管理结构.md,PARACAP项目管理结构.md,PARACAP项目管理结构.md
0.DailyNotes\0.mindset\PDCA：独立开发者的“个人引擎”升级指南.md,2.Topics\创业与产品\商业模式\PDCA：独立开发者的“个人引擎”升级指南.md,PDCA：独立开发者的“个人引擎”升级指南.md,PDCA：独立开发者的“个人引擎”升级指南.md
0.DailyNotes\0.mindset\Prompt 模板库结构设计.md,2.Topics\Coding\AI与大模型\Prompt 模板库结构设计.md,Prompt 模板库结构设计.md,Prompt 模板库结构设计.md
0.DailyNotes\0.mindset\Task Graph建模适用场景.md,2.Topics\Coding\系统设计\Task Graph建模适用场景.md,Task Graph建模适用场景.md,Task Graph建模适用场景.md
0.DailyNotes\0.mindset\The Trump Business Wisdom Collection.md,2.Topics\创业与产品\商业模式\The Trump Business Wisdom Collection.md,The Trump Business Wisdom Collection.md,The Trump Business Wisdom Collection.md
0.DailyNotes\0.mindset\YAGNI 原则.md,2.Topics\认知科学\思维模型\YAGNI 原则.md,YAGNI 原则.md,YAGNI 原则.md
0.DailyNotes\0.mindset\Youtube开发系主播清单.md,2.Topics\个人效能\职业发展\Youtube开发系主播清单.md,Youtube开发系主播清单.md,Youtube开发系主播清单.md
0.DailyNotes\0.mindset\上下文工程.md,2.Topics\Coding\AI与大模型\上下文工程.md,上下文工程.md,上下文工程.md
