原文件名,分类代码,新文件名,分类说明
04推理扩展.md,TH,TH-04推理扩展.md,思维框架
10%核心要素识别.md,KM,KM-10%核心要素识别.md,知识管理
200字卡片笔记.md,KM,KM-200字卡片笔记.md,知识管理
4D 笔记重构助手.md,KM,KM-4D 笔记重构助手.md,知识管理
AI writing tutor.md,WR,WR-AI writing tutor.md,写作表达
AI 诤友.md,RL,RL-AI 诤友.md,角色扮演
AI精英学院™课程页面开发规范.md,TD,TD-AI精英学院课程页面开发规范.md,技术开发
Alias-系统基础设施栈.md,TD,TD-Alias-系统基础设施栈.md,技术开发
Anki 闪卡生成器和知识萃取专家-flashcard语法.md,LR,LR-Anki闪卡生成器和知识萃取专家.md,学习记忆
Canvas笔记生成器.md,KM,KM-Canvas笔记生成器.md,知识管理
Cheat Sheet.md,META,META-Cheat Sheet.md,元工具
C-level知识架构顾问-Fits-in核查.md,RL,RL-C-level知识架构顾问.md,角色扮演
Compare&Contrast.md,TH,TH-Compare&Contrast.md,思维框架
CoT 增强版系统提示词.md,META,META-CoT增强版系统提示词.md,元工具
debate辩论性分析.md,TH,TH-debate辩论性分析.md,思维框架
DIKW金字塔模型.md,TH,TH-DIKW金字塔模型.md,思维框架
empirical evidence风格重写.md,WR,WR-empirical evidence风格重写.md,写作表达
Excalidraw图表生成PROMPT.md,TD,TD-Excalidraw图表生成PROMPT.md,技术开发
For High-IQ one-screen summary.md,KM,KM-For High-IQ one-screen summary.md,知识管理
FQA反复提问选择题.md,LR,LR-FQA反复提问选择题.md,学习记忆
FQA反复提问间隔复习版.md,LR,LR-FQA反复提问间隔复习版.md,学习记忆
Google Calendar 日历生成器(debug).md,MISC,MISC-Google Calendar日历生成器.md,杂项
GRE英文写作大师.md,WR,WR-GRE英文写作大师.md,写作表达
Hierarchy is  everything.md,TH,TH-Hierarchy is everything.md,思维框架
HTML页面生成与排版优化.md,TD,TD-HTML页面生成与排版优化.md,技术开发
IELTS-style essay.md,WR,WR-IELTS-style essay.md,写作表达
LFSP风格AI助手.md,TD,TD-LFSP风格AI助手.md,技术开发
life coach.md,RL,RL-life coach.md,角色扮演
Lisa对知识充满渴望和好奇的机器人助理.md,RL,RL-Lisa知识渴望助理.md,角色扮演
LLM指令架构师.md,META,META-LLM指令架构师.md,元工具
manictime今日活动日志分析.md,DA,DA-manictime今日活动日志分析.md,数据分析
Master Prompt逆向工程提示词生成器.md,META,META-Master Prompt逆向工程提示词生成器.md,元工具
Mermaid-实体关系图.md,TD,TD-Mermaid实体关系图.md,技术开发
Next Step.md,MISC,MISC-Next Step.md,杂项
Notion AI 主要功能提示词合集.md,MISC,MISC-Notion AI主要功能提示词合集.md,杂项
NPL语义分析.md,DA,DA-NPL语义分析.md,数据分析
Obsidian2Anki题目生成.md,LR,LR-Obsidian2Anki题目生成.md,学习记忆
O'Reilly传奇技术编辑.md,RL,RL-OReilly传奇技术编辑.md,角色扮演
PALC结构分析器.md,TH,TH-PALC结构分析器.md,思维框架
PERE元认知引擎-结构化目标.md,TH,TH-PERE元认知引擎.md,思维框架
