source_path,target_path,confidence,matched_rule,old_title,new_title
0.DailyNotes\12-Factor App 故障排查手册.md,2.Topics/Coding/系统设计/12-Factor App 故障排查手册.md,HIGH,B1-12-Factor,12-Factor App 故障排查手册.md,12-Factor App 故障排查手册.md
0.DailyNotes\2025 年开发者生存指南-领域知识.md,2.Topics/Coding/系统设计/2025 年开发者生存指南-领域知识.md,HIGH,B2-内容关键词,2025 年开发者生存指南-领域知识.md,2025 年开发者生存指南-领域知识.md
0.DailyNotes\2025-12-03-specs开发阶段.md,2.Topics/Coding/数据库与存储/specs开发阶段.md,MEDIUM,E2-内容关键词,2025-12-03-specs开发阶段.md,specs开发阶段.md
0.DailyNotes\2025-12-03-YAGNI 如何改变决策质量.md,2.Topics/Coding/系统设计/YAGNI 如何改变决策质量.md,HIGH,B2-内容关键词,2025-12-03-YAGNI 如何改变决策质量.md,YAGNI 如何改变决策质量.md
0.DailyNotes\2025-12-03-大模型选型决策树.md,2.Topics/Coding/AI与大模型/大模型选型决策树.md,HIGH,C1-大模型,2025-12-03-大模型选型决策树.md,大模型选型决策树.md
0.DailyNotes\2025-12-03-并发基础核心解析.md,2.Topics/Coding/系统设计/并发基础核心解析.md,HIGH,B2-内容关键词,2025-12-03-并发基础核心解析.md,并发基础核心解析.md
0.DailyNotes\2025-12-03-消息队列vs任务队列.md,2.Topics/Coding/系统设计/消息队列vs任务队列.md,HIGH,B2-内容关键词,2025-12-03-消息队列vs任务队列.md,消息队列vs任务队列.md
0.DailyNotes\2025-12-05-Design Thinking.md,2.Topics/Coding/工程实践/Design Thinking.md,HIGH,D1-Design Thinking,2025-12-05-Design Thinking.md,Design Thinking.md
0.DailyNotes\2025-12-05-Go与Rust的权衡.md,2.Topics/Coding/语言指南/Go与Rust的权衡.md,HIGH,A1-语言:Rust,2025-12-05-Go与Rust的权衡.md,Go与Rust的权衡.md
0.DailyNotes\2025-12-05-Python学习套件.md,2.Topics/Coding/语言指南/Python学习套件.md,HIGH,A1-语言:Python,2025-12-05-Python学习套件.md,Python学习套件.md
0.DailyNotes\2025-12-05-常用中间件.md,2.Topics/Coding/系统设计/常用中间件.md,HIGH,B2-内容关键词,2025-12-05-常用中间件.md,常用中间件.md
0.DailyNotes\2025-12-06-300行代码解释依赖注入的原理.md,2.Topics/Coding/系统设计/300行代码解释依赖注入的原理.md,HIGH,B2-内容关键词,2025-12-06-300行代码解释依赖注入的原理.md,300行代码解释依赖注入的原理.md
0.DailyNotes\2025-12-06-企业应用架构模式.md,2.Topics/Coding/系统设计/企业应用架构模式.md,HIGH,B1-架构,2025-12-06-企业应用架构模式.md,企业应用架构模式.md
0.DailyNotes\2025-12-06-关键知识点学习清单.md,2.Topics/Coding/系统设计/关键知识点学习清单.md,HIGH,B2-内容关键词,2025-12-06-关键知识点学习清单.md,关键知识点学习清单.md
0.DailyNotes\2025-12-07- 教练式 Code Review.md,2.Topics/Coding/工程实践/ 教练式 Code Review.md,HIGH,D1-Code Review,2025-12-07- 教练式 Code Review.md, 教练式 Code Review.md
0.DailyNotes\2025-12-07-“创业温床”型公司.md,2.Topics/创业与产品/“创业温床”型公司.md,HIGH,J-创业,2025-12-07-“创业温床”型公司.md,“创业温床”型公司.md
0.DailyNotes\2025-12-07-带着答案提问.md,2.Topics/Coding/数据库与存储/带着答案提问.md,MEDIUM,E2-内容关键词,2025-12-07-带着答案提问.md,带着答案提问.md
0.DailyNotes\2025-12-07-系统架构分类框架.md,2.Topics/Coding/系统设计/系统架构分类框架.md,HIGH,B1-架构,2025-12-07-系统架构分类框架.md,系统架构分类框架.md
0.DailyNotes\2025-12-07-逻辑判断的三个维度.md,UNCATEGORIZED\逻辑判断的三个维度.md,LOW,未匹配任何规则,2025-12-07-逻辑判断的三个维度.md,逻辑判断的三个维度.md
0.DailyNotes\2025-12-10-行动触发器.md,2.Topics/Coding/工程实践/行动触发器.md,MEDIUM,D2-内容关键词,2025-12-10-行动触发器.md,行动触发器.md
0.DailyNotes\2025-12-10-高质量开源项目的特征.md,2.Topics/Coding/工程实践/高质量开源项目的特征.md,HIGH,D1-开源,2025-12-10-高质量开源项目的特征.md,高质量开源项目的特征.md
0.DailyNotes\2025-12-11-AI在写代码领域的当前水平.md,2.Topics/Coding/系统设计/AI在写代码领域的当前水平.md,HIGH,B2-内容关键词,2025-12-11-AI在写代码领域的当前水平.md,AI在写代码领域的当前水平.md
0.DailyNotes\2025-12-11-写代码 vs 写作：AI评估维度对比.md,2.Topics/Coding/系统设计/写代码 vs 写作：AI评估维度对比.md,HIGH,B2-内容关键词,2025-12-11-写代码 vs 写作：AI评估维度对比.md,写代码 vs 写作：AI评估维度对比.md
0.DailyNotes\2025-12-11-视野分层.md,2.Topics/写作与英语/写作技巧/视野分层.md,MEDIUM,I2-内容关键词,2025-12-11-视野分层.md,视野分层.md
0.DailyNotes\2025-12-16-37 signals.md,2.Topics/认知科学/决策框架/37 signals.md,HIGH,F2-37 signals,2025-12-16-37 signals.md,37 signals.md
0.DailyNotes\2025-12-19-优先级决策者.md,2.Topics/认知科学/思维模型/优先级决策者.md,HIGH,F1-决策,2025-12-19-优先级决策者.md,优先级决策者.md
